Year,Month,Day,Hour,Count
2014,7,10,11,84
2014,7,10,12,73
2014,7,10,13,40
2014,7,10,14,36
2014,7,10,15,69
2014,7,10,16,43
2014,7,10,17,33
2014,7,10,18,1
2014,7,11,5,1
2014,7,11,6,4
2014,7,11,7,1
2014,7,11,8,2
2014,7,11,9,16
2014,7,11,10,40
2014,7,11,11,29
2014,7,11,12,13
2014,7,11,13,20
2014,7,11,14,26
2014,7,11,15,24
2014,7,11,16,25
2014,7,11,17,11
2014,7,11,18,7
2014,7,12,5,1
2014,7,12,6,1
2014,7,12,7,2
2014,7,12,8,13
2014,7,12,9,39
2014,7,12,10,50
2014,7,12,11,117
2014,7,12,12,69
2014,7,12,13,49
2014,7,12,14,37
2014,7,12,15,18
2014,7,12,16,23
2014,7,12,17,12
2014,7,13,1,1
2014,7,13,2,1
2014,7,13,8,4
2014,7,13,9,22
2014,7,13,10,97
2014,7,13,11,68
2014,7,13,12,59
2014,7,13,13,15
2014,7,13,14,7
2014,7,13,15,18
2014,7,13,16,9
2014,7,13,17,5
2014,7,14,6,1
2014,7,14,8,7
2014,7,14,9,11
2014,7,14,10,34
2014,7,14,11,59
2014,7,14,12,49
2014,7,14,13,36
2014,7,14,14,43
2014,7,14,15,62
2014,7,14,16,50
2014,7,14,17,20
2014,7,14,18,10
2014,7,14,19,2
2014,7,14,20,1
2014,7,14,21,1
2014,7,15,5,1
2014,7,15,6,2
2014,7,15,7,5
2014,7,15,8,7
2014,7,15,9,18
2014,7,15,10,9
2014,7,15,11,22
2014,7,15,12,20
2014,7,15,13,25
2014,7,15,14,23
2014,7,15,15,28
2014,7,15,16,41
2014,7,15,17,26
2014,7,15,18,9
2014,7,15,20,1
2014,7,15,21,1
2014,7,16,0,1
2014,7,16,6,4
2014,7,16,7,3
2014,7,16,8,14
2014,7,16,9,17
2014,7,16,10,36
2014,7,16,11,33
2014,7,16,12,23
2014,7,16,13,19
2014,7,16,14,33
2014,7,16,15,42
2014,7,16,16,25
2014,7,16,17,10
2014,7,16,18,7
2014,7,16,19,3
2014,7,17,6,2
2014,7,17,7,3
2014,7,17,8,6
2014,7,17,9,26
2014,7,17,10,25
2014,7,17,11,43
2014,7,17,12,42
2014,7,17,13,23
2014,7,17,14,45
2014,7,17,15,26
2014,7,17,16,21
2014,7,17,17,16
2014,7,17,18,3
2014,7,18,6,5
2014,7,18,7,5
2014,7,18,8,8
2014,7,18,9,36
2014,7,18,10,35
2014,7,18,11,61
2014,7,18,12,30
2014,7,18,13,21
2014,7,18,14,42
2014,7,18,15,27
2014,7,18,16,43
2014,7,18,17,16
2014,7,18,18,1
2014,7,19,6,1
2014,7,19,7,2
2014,7,19,8,7
2014,7,19,9,24
2014,7,19,10,22
2014,7,19,11,30
2014,7,19,12,45
2014,7,19,13,29
2014,7,19,14,29
2014,7,19,15,42
2014,7,19,16,31
2014,7,19,17,31
2014,7,19,18,1
2014,7,20,6,1
2014,7,20,7,1
2014,7,20,8,9
2014,7,20,9,11
2014,7,20,10,23
2014,7,20,11,20
2014,7,20,12,61
2014,7,20,13,25
2014,7,20,14,28
2014,7,20,15,69
2014,7,20,16,47
2014,7,20,17,39
2014,7,20,18,6
2014,7,20,19,1
2014,7,21,7,3
2014,7,21,8,16
2014,7,21,9,29
2014,7,21,10,45
2014,7,21,11,27
2014,7,21,12,35
2014,7,21,13,22
2014,7,21,14,16
2014,7,21,15,32
2014,7,21,16,51
2014,7,21,17,16
2014,7,21,18,7
2014,7,22,5,2
2014,7,22,6,3
2014,7,22,7,6
2014,7,22,8,7
2014,7,22,9,21
2014,7,22,10,48
2014,7,22,11,17
2014,7,22,12,19
2014,7,22,13,15
2014,7,22,14,22
2014,7,22,15,16
2014,7,22,16,65
2014,7,22,17,18
2014,7,22,18,12
2014,7,22,19,2
2014,7,22,20,1
2014,7,23,5,1
2014,7,23,6,9
2014,7,23,7,4
2014,7,23,8,19
2014,7,23,9,23
2014,7,23,10,12
2014,7,23,11,28
2014,7,23,12,40
2014,7,23,13,21
2014,7,23,14,25
2014,7,23,15,33
2014,7,23,16,37
2014,7,23,17,32
2014,7,23,18,14
2014,7,23,19,1
2014,7,24,6,1
2014,7,24,7,4
2014,7,24,8,14
2014,7,24,9,22
2014,7,24,10,35
2014,7,24,11,18
2014,7,24,12,10
2014,7,24,13,13
2014,7,24,14,30
2014,7,24,15,18
2014,7,24,16,36
2014,7,24,17,41
2014,7,24,18,9
2014,7,25,7,1
2014,7,25,8,4
2014,7,25,9,18
2014,7,25,10,27
2014,7,25,11,22
2014,7,25,12,19
2014,7,25,13,24
2014,7,25,14,41
2014,7,25,15,33
2014,7,25,16,22
2014,7,25,17,28
2014,7,25,18,2
2014,7,25,19,2
2014,7,25,21,3
2014,7,26,7,6
2014,7,26,8,8
2014,7,26,9,21
2014,7,26,10,50
2014,7,26,11,29
2014,7,26,12,25
2014,7,26,13,27
2014,7,26,14,55
2014,7,26,15,25
2014,7,26,16,38
2014,7,26,17,24
2014,7,26,18,4
2014,7,26,20,4
2014,7,27,7,3
2014,7,27,8,4
2014,7,27,9,18
2014,7,27,10,36
2014,7,27,11,38
2014,7,27,12,52
2014,7,27,13,31
2014,7,27,14,32
2014,7,27,15,61
2014,7,27,16,29
2014,7,27,17,23
2014,7,27,18,4
2014,7,27,22,5
2014,7,28,0,8
2014,7,28,5,1
2014,7,28,6,4
2014,7,28,7,7
2014,7,28,8,18
2014,7,28,9,30
2014,7,28,10,43
2014,7,28,11,24
2014,7,28,12,22
2014,7,28,13,21
2014,7,28,14,45
2014,7,28,15,21
2014,7,28,16,34
2014,7,28,17,16
2014,7,28,18,3
2014,7,28,23,1
2014,7,29,5,1
2014,7,29,6,3
2014,7,29,7,4
2014,7,29,8,5
2014,7,29,9,37
2014,7,29,10,37
2014,7,29,11,25
2014,7,29,12,16
2014,7,29,13,18
2014,7,29,14,36
2014,7,29,15,32
2014,7,29,16,15
2014,7,29,17,44
2014,7,29,18,15
2014,7,29,19,2
2014,7,29,20,2
2014,7,30,5,2
2014,7,30,6,8
2014,7,30,7,6
2014,7,30,8,24
2014,7,30,9,35
2014,7,30,10,25
2014,7,30,11,9
2014,7,30,12,6
2014,7,30,13,5
2014,7,30,15,3
2014,7,30,16,2
2014,7,30,17,13
2014,7,30,18,2
2014,7,31,6,2
2014,7,31,8,3
2014,7,31,9,18
2014,7,31,10,8
2014,7,31,11,16
2014,7,31,12,29
2014,7,31,13,28
2014,7,31,14,21
2014,7,31,15,29
2014,7,31,16,44
2014,7,31,17,26
2014,7,31,18,8
2014,7,31,21,3
2014,8,1,6,2
2014,8,1,7,2
2014,8,1,8,21
2014,8,1,9,35
2014,8,1,10,34
2014,8,1,11,48
2014,8,1,12,38
2014,8,1,13,28
2014,8,1,14,7
2014,8,1,15,19
2014,8,1,16,25
2014,8,1,17,9
2014,8,1,18,2
2014,8,2,6,4
2014,8,2,10,3
2014,8,2,11,6
2014,8,2,12,6
2014,8,2,13,6
2014,8,2,14,19
2014,8,2,15,14
2014,8,2,16,9
2014,8,2,17,7
2014,8,3,6,2
2014,8,3,7,2
2014,8,3,8,13
2014,8,3,9,18
2014,8,3,10,18
2014,8,3,11,39
2014,8,3,12,18
2014,8,3,13,42
2014,8,3,14,34
2014,8,3,15,45
2014,8,3,16,48
2014,8,3,17,24
2014,8,3,18,13
2014,8,4,6,3
2014,8,4,7,7
2014,8,4,8,15
2014,8,4,9,16
2014,8,4,10,32
2014,8,4,11,25
2014,8,4,12,24
2014,8,4,13,31
2014,8,4,14,15
2014,8,4,15,15
2014,8,4,16,1
